gender,genderLooking,age,agecode,counts_pictures,counts_profileVisits,counts_kisses,counts_fans,flirtInterests_chat,flirtInterests_friends,flirtInterests_date,fanCat,kissesCat,profilevisitsCat,picturesCat
Female,Both,21,under21,20,17092,461,1,true,false,false,1,3,4,2
Female,Male,20,under21,6,49039,4269,0,true,true,false,0,3,4,2
Female,Male,24,over21,3,21710,801,0,true,false,true,0,3,4,1
Female,Male,22,over21,5,19421,323,0,true,true,false,0,3,4,2
Female,Male,23,over21,16,164425,9288,0,true,true,true,0,3,4,2
Female,Male,21,under21,19,21706,478,18,true,true,false,1,3,4,2
Female,Male,19,under21,8,2237,28,2,true,true,true,1,2,3,2
Female,Male,23,over21,13,12405,238,2,false,true,true,1,3,4,2
Female,Male,19,under21,1,5783,178,4,false,false,false,1,3,4,1
Female,Male,20,under21,2,9312,405,17,true,false,false,1,3,4,1
Female,Male,19,under21,4,38561,4527,0,true,false,false,0,3,4,1
Female,Male,25,over21,3,5481,164,0,true,false,false,0,3,4,1
Female,Male,19,under21,16,4940,300,3,true,false,false,1,3,4,2
Female,Male,23,over21,11,4621,88,0,true,true,true,0,2,4,2
Female,Male,19,under21,4,27780,2187,0,true,false,false,0,3,4,1
Female,Male,23,over21,7,14435,490,12,true,true,true,1,3,4,2
Female,Male,21,under21,30,4946,115,2,true,true,false,1,3,4,2
Female,Male,21,under21,3,3075,106,15,true,false,false,1,3,3,1
Female,Male,24,over21,8,24814,500,1,false,false,false,1,3,4,2
Female,Male,19,under21,4,22468,1306,2,true,true,true,1,3,4,1
Female,Male,23,over21,6,2597,53,0,false,false,true,0,2,3,2
Female,Male,20,under21,7,9139,333,11,true,false,true,1,3,4,2
Female,Male,22,over21,4,6912,242,5,true,true,true,1,3,4,1
Female,Male,20,under21,15,6973,163,9,false,false,true,1,3,4,2
Female,Male,20,under21,2,8482,234,2,true,false,false,1,3,4,1
Female,None,20,under21,3,1693,43,5,true,false,true,1,2,3,1
Female,Male,19,under21,5,4098,426,1,false,true,true,1,3,4,2
Female,Male,21,under21,7,16101,437,5,false,false,true,1,3,4,2
Female,Male,23,over21,5,297,4,0,false,false,true,0,1,1,2
Female,Male,23,over21,3,14407,617,2,false,false,true,1,3,4,1
Female,Male,22,over21,3,10801,518,0,false,false,false,0,3,4,1
Female,Male,20,under21,8,18269,735,1,true,true,true,1,3,4,2
Female,Male,20,under21,8,8194,233,0,true,true,false,0,3,4,2
Female,Male,19,under21,5,14676,1003,1,true,true,false,1,3,4,2
Female,Male,19,under21,3,6556,119,5,true,false,false,1,3,4,1
Female,Male,20,under21,6,34942,1235,4,true,true,true,1,3,4,2
Female,Male,22,over21,3,10921,729,0,true,true,true,0,3,4,1
Female,Male,23,over21,4,34272,1046,0,true,false,false,0,3,4,1
Female,Male,21,under21,5,5362,93,1,true,false,false,1,2,4,2
